"Division","Game ID","Date","Time","Venue","Home Team","Away Team","Game Status"
"Bantam B2","HLBTB218","2020-02-15","18:00","POTVIN","GCTCOUGARS1 (0)","RSWARRIORS1 (7)","Game Results Entered & Game Sheet Received"
"Midget B2","HLMB256","2020-02-15","18:00","BARRETT EAST","LETRMHAWKS4 (1)","RSWARRIORS1 (2)","Game Results Entered & Game Sheet Received"
"Midget B1","HLMB163","2020-02-15","19:00","BARRETT EAST","METCAFJETS1 (2)","LETRMHAWKS5 (6)","Game Results Entered & Game Sheet Received"
"Midget A","HLMA92","2020-02-15","19:00","BLACKBURN","ORLEANS1 (1)","LETRMHAWKS2 (3)","Game Results Entered & Game Sheet Received"
"Midget A","HLMA109","2020-02-15","20:00","BARRETT EAST","LETRMHAWKS3 (4)","LETRMHAWKS1 (2)","Game Results Entered & Game Sheet Received"
"Midget A","HLMA111","2020-02-15","20:00","BLACKBURN","GCTCOUGARS1 (4)","RSWARRIORS1 (0)","Game Results Entered & Game Sheet Received"
"Atom B2","HLATB226","2020-02-16","08:00","SENECAL","LETRMHAWKS3 (1)","METCAFJETS1 (2)","Game Results Entered & Game Sheet Received"
"Bantam B2","HLBTB206","2020-02-16","09:00","SENECAL","GCTCOUGARS1 (0)","BBSTINGERS2 (1)","Game Results Entered & Game Sheet Received"
"PeeWee C","HLPC44","2020-02-16","10:00","BLACKBURN","BBSTINGERS1 (3)","LETRMHAWKS1 (0)","Game Results Entered & Game Sheet Received"
"Bantam A","HLBA88","2020-02-16","10:00","SENECAL","GCTCOUGARS1 (1)","RSWARRIORS1 (2)","Game Results Entered & Game Sheet Received"
"PeeWee B1","HLPWB124","2020-02-16","11:00","BLACKBURN","BBSTINGERS2 (2)","LETRMHAWKS4 (1)","Game Results Entered & Game Sheet Received"
"Novice B","HLNB143","2020-02-16","11:30","BARRETT WEST","METCAFJETS1","LETRMHAWKS2",""
"Novice C","HLNC91","2020-02-16","12:30","BARRETT WEST 1 HALF","GCTCOUGARS1","LETRMHAWKS1",""
"Novice C","HLNC92","2020-02-16","12:30","BARRETT WEST 2 HALF","LETRMHAWKS2","RSWARRIORS1",""
"Novice A","HLNA83","2020-02-16","13:30","BARRETT WEST 1 HALF","METCAFJETS2","RSWARRIORS1",""
"Novice B","HLNB171","2020-02-16","13:30","BARRETT WEST 2 HALF","LETRMHAWKS1","METCAFJETS3",""
"Atom B1","HLATB131","2020-02-16","15:00","BARRETT EAST","BBSTINGERS1 (3)","ORLEANS1 (2)","Game Results Entered & Game Sheet Received"
